产品名称,持有金额,成立以来年化(%),起始净值,最新净值,是否售罄
兴银理财 稳添利周盈 4 号 V,,4.77,1.0148,1.0162,否
宁银理财 宁欣 36 号,,4.46,1.014705,1.015384,否
南银理财 鼎瑞悦稳 8 号,,4.41,1.015289,1.016099,是
北银理财 诚享 13 号,,4.35,1.008793,1.009422,否
浦银理财 周周鑫 11 号,,4.14,1.0245,1.0253,否
浦银理财 周周鑫 8 号,,3.64,1.0296,1.0302,否
华夏理财 悦慧 7J,,3.5,1.0115,1.012,否
南银理财 鼎瑞悦稳 6 号,,3.46,1.02193,1.022616,否
华夏理财 固收纯债 7P,,3.37,1.0276,1.0279,否
华夏理财 悦慧 7D,,3.36,1.0184,1.0188,否
平安理财 灵活成长 3 号,,3.15,1.044436,1.044824,否
北银理财 诚享 11 号,,3.13,1.016758,1.017344,否
宁银理财 宁欣 33 号,,3.07,1.017094,1.017586,否
南银理财 鼎瑞悦稳 5 号,,3.01,1.02362,1.024259,否
华夏理财 固收纯债 7G,,2.95,1.0308,1.0311,否
北银理财 诚享 8 号,,2.95,1.026249,1.026822,否
民生理财 贵竹 2 号,,2.85,1.062763,1.063418,否
民生理财 贵竹 12 号,,2.81,1.034503,1.035114,否
宁银理财 宁欣 32 号,,2.78,1.017589,1.018048,否
北银理财 诚享 10 号,,2.78,1.02142,1.021827,否
浦银理财 周周鑫 9 号,,2.58,1.0188,1.0192,否
华夏理财 固收纯债 7Q,,2.55,1.0179,1.0182,否
信银理财 安盈象 26 号,,2.51,1.0319,1.0323,否
宁银理财 宁欣 29 号,,2.49,1.01766,1.018115,否
信银理财 安盈象 27 号,,2.48,1.0231,1.0234,否
信银理财 安盈象 15 号,,2.47,1.0273,1.0278,否
浦银理财 周周鑫 7 号,,2.43,1.0225,1.023,否
浦银理财 周周鑫 6 号,,2.32,1.0245,1.0249,否
光大理财 创利乐享 10 号 D,,4.42,1.0291,1.0297,否
民生理财 贵竹 39 号,,3.65,1.010737,1.011297,否
北银理财 诚享 12 号,,3.51,1.007486,1.008086,否
浦银理财 周周鑫 12 号,,5.14,1.0278,1.0297,是
华夏理财 固收纯债 7R,,5.05,1.0263,1.027,否
华夏理财 悦慧 7K,,4.85,1.0263,1.027,否
